"","id","dob_month","dob_year","dob_conflict","race","gender","yr_hgc","hgc_i","hgc"
"56",56,5,64,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1982",11,"11TH GRADE"
"57",57,5,58,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1979",12,"12TH GRADE"
"58",58,1,57,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1990",17,"5TH YEAR COL"
"59",59,1,59,TRUE,"NON-BLACK, NON-HISPANIC","MALE","1979",12,"12TH GRADE"
"60",60,8,61,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1981",12,"12TH GRADE"
"61",61,9,62,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1987",14,"2ND YEAR COL"
"62",62,7,64,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","2014",16,"4TH YEAR COL"
"63",63,2,60,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1983",16,"4TH YEAR COL"
"64",64,9,61,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1986",13,"1ST YEAR COL"
"65",65,10,63,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1986",16,"4TH YEAR COL"
"66",66,1,64,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1985",14,"2ND YEAR COL"
"67",67,1,58,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1987",18,"6TH YEAR COL"
"68",68,3,62,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1985",16,"4TH YEAR COL"
"69",69,7,64,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1993",18,"6TH YEAR COL"
"70",70,3,61,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1986",18,"6TH YEAR COL"
"71",71,5,63,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1989",19,"7TH YEAR COL"
"72",72,12,59,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1982",16,"4TH YEAR COL"
"73",73,11,63,TRUE,"NON-BLACK, NON-HISPANIC","MALE","1996",18,"6TH YEAR COL"
"74",74,11,59,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1993",16,"4TH YEAR COL"
"75",75,3,62,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1985",16,"4TH YEAR COL"
"76",76,2,64,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1985",14,"2ND YEAR COL"
"77",77,5,64,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1987",16,"4TH YEAR COL"
"78",78,4,57,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1980",16,"4TH YEAR COL"
"79",79,4,60,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1985",18,"6TH YEAR COL"
"80",80,6,63,FALSE,"NON-BLACK, NON-HISPANIC","MALE","2012",19,"7TH YEAR COL"
"81",81,9,64,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1992",19,"7TH YEAR COL"
"82",82,9,58,FALSE,"BLACK","MALE","1979",12,"12TH GRADE"
"83",83,7,60,FALSE,"BLACK","MALE","1990",10,"10TH GRADE"
"84",84,4,63,FALSE,"BLACK","MALE","1986",12,"12TH GRADE"
"85",85,6,59,FALSE,"BLACK","MALE","1993",11,"11TH GRADE"
"86",86,10,60,FALSE,"BLACK","FEMALE","1980",9,"9TH GRADE"
"87",87,4,63,FALSE,"BLACK","MALE","1982",12,"12TH GRADE"
"88",88,4,57,FALSE,"BLACK","MALE","1981",16,"4TH YEAR COL"
"89",89,3,59,FALSE,"BLACK","FEMALE","1982",16,"4TH YEAR COL"
"90",90,9,58,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1981",16,"4TH YEAR COL"
"91",91,7,63,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1987",16,"4TH YEAR COL"
"92",92,8,62,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1982",12,"12TH GRADE"
"93",93,6,64,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1984",12,"12TH GRADE"
"94",94,2,57,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1979",10,"10TH GRADE"
"95",95,7,60,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1979",12,"12TH GRADE"
"96",96,6,61,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1981",12,"12TH GRADE"
"97",97,2,58,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","2000",14,"2ND YEAR COL"
"98",98,9,57,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1979",13,"1ST YEAR COL"
"99",99,9,57,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1979",14,"2ND YEAR COL"
"100",100,10,63,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1987",12,"12TH GRADE"
"101",101,9,58,FALSE,"NON-BLACK, NON-HISPANIC","MALE","2010",20,"8TH YEAR COL"
"102",102,8,64,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1989",16,"4TH YEAR COL"
"103",103,5,58,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1985",18,"6TH YEAR COL"
"104",104,6,58,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1979",12,"12TH GRADE"
"105",105,9,58,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1979",12,"12TH GRADE"
"106",106,1,61,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1984",16,"4TH YEAR COL"
"107",107,2,62,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1987",16,"4TH YEAR COL"
"108",108,7,58,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1987",20,"8TH YEAR COL"
"109",109,4,62,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1981",12,"12TH GRADE"
"110",110,5,57,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1986",13,"1ST YEAR COL"
"111",111,6,59,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1979",12,"12TH GRADE"
"112",112,9,63,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","2008",12,"12TH GRADE"
"113",113,1,63,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1982",12,"12TH GRADE"
"114",114,1,57,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1979",12,"12TH GRADE"
"115",115,8,60,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1984",16,"4TH YEAR COL"
"116",116,12,63,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1991",15,"3RD YEAR COL"
"117",117,9,59,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1982",15,"3RD YEAR COL"
"118",118,10,61,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1980",9,"9TH GRADE"
"119",119,5,57,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1982",16,"4TH YEAR COL"
"120",120,3,62,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1985",16,"4TH YEAR COL"
"121",121,9,64,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1991",17,"5TH YEAR COL"
"122",122,11,61,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1981",12,"12TH GRADE"
"123",123,7,62,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1993",16,"4TH YEAR COL"
"124",124,3,61,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1984",15,"3RD YEAR COL"
"125",125,2,57,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1979",13,"1ST YEAR COL"
"126",126,12,58,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1980",14,"2ND YEAR COL"
"127",127,3,60,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1984",12,"12TH GRADE"
"128",128,7,58,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1979",12,"12TH GRADE"
"129",129,9,60,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1985",16,"4TH YEAR COL"
"130",130,10,59,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1980",13,"1ST YEAR COL"
"131",131,4,60,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1979",12,"12TH GRADE"
"132",132,9,59,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1979",12,"12TH GRADE"
"133",133,12,62,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1982",12,"12TH GRADE"
"134",134,6,61,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1984",12,"12TH GRADE"
"135",135,8,64,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1994",16,"4TH YEAR COL"
"136",136,10,57,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1979",12,"12TH GRADE"
"137",137,7,61,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1989",16,"4TH YEAR COL"
"138",138,11,62,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1985",16,"4TH YEAR COL"
"139",139,12,63,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1986",15,"3RD YEAR COL"
"140",140,9,58,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1988",17,"5TH YEAR COL"
"141",141,7,62,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1989",18,"6TH YEAR COL"
"142",142,1,60,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1979",12,"12TH GRADE"
"143",143,6,61,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","2008",15,"3RD YEAR COL"
"144",144,7,64,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1983",12,"12TH GRADE"
"145",145,8,62,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1984",12,"12TH GRADE"
"146",146,1,64,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1983",12,"12TH GRADE"
"147",147,6,61,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1982",14,"2ND YEAR COL"
"148",148,3,63,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1982",12,"12TH GRADE"
"149",149,2,64,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1983",12,"12TH GRADE"
"150",150,9,59,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1979",12,"12TH GRADE"
"151",151,12,57,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1979",12,"12TH GRADE"
"152",152,10,61,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1980",12,"12TH GRADE"
"153",153,1,63,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1985",12,"12TH GRADE"
"154",154,9,64,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1979",8,"8TH GRADE"
"155",155,10,63,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1979",9,"9TH GRADE"
"156",156,12,57,TRUE,"NON-BLACK, NON-HISPANIC","MALE","1979",11,"11TH GRADE"
"157",157,4,62,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","2016",20,"8TH YEAR COL"
"158",158,9,58,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","2002",17,"5TH YEAR COL"
"159",159,4,60,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1983",16,"4TH YEAR COL"
"160",160,2,60,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1982",14,"2ND YEAR COL"
"161",161,3,61,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1981",12,"12TH GRADE"
"162",162,4,61,FALSE,"NON-BLACK, NON-HISPANIC","MALE","2000",18,"6TH YEAR COL"
"163",163,4,62,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1984",16,"4TH YEAR COL"
"164",164,3,60,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1979",12,"12TH GRADE"
"165",165,10,60,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1980",12,"12TH GRADE"
"166",166,2,62,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1989",13,"1ST YEAR COL"
"167",167,2,60,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1979",12,"12TH GRADE"
"168",168,4,61,FALSE,"BLACK","MALE","2010",16,"4TH YEAR COL"
"169",169,2,63,FALSE,"BLACK","FEMALE","1984",14,"2ND YEAR COL"
"170",170,1,57,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1979",14,"2ND YEAR COL"
"171",171,1,62,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1989",16,"4TH YEAR COL"
"172",172,8,57,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1979",9,"9TH GRADE"
"173",173,10,62,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1979",9,"9TH GRADE"
"174",174,6,60,FALSE,"HISPANIC","FEMALE","1980",13,"1ST YEAR COL"
"175",175,10,57,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1981",14,"2ND YEAR COL"
"176",176,9,59,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1982",16,"4TH YEAR COL"
"177",177,7,60,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1981",12,"12TH GRADE"
"178",178,5,58,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1998",16,"4TH YEAR COL"
"179",179,8,58,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1979",12,"12TH GRADE"
"180",180,3,57,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1993",16,"4TH YEAR COL"
"181",181,7,58,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1979",12,"12TH GRADE"
"182",182,8,64,FALSE,"NON-BLACK, NON-HISPANIC","MALE","2010",13,"1ST YEAR COL"
"183",183,11,58,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1979",12,"12TH GRADE"
"184",184,1,61,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1993",16,"4TH YEAR COL"
"185",185,10,64,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1983",12,"12TH GRADE"
"186",186,4,59,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","2000",18,"6TH YEAR COL"
"187",187,6,64,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1987",15,"3RD YEAR COL"
"188",188,1,59,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1979",10,"10TH GRADE"
"189",189,6,58,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1996",16,"4TH YEAR COL"
"190",190,7,61,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1990",18,"6TH YEAR COL"
"191",191,8,63,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1991",19,"7TH YEAR COL"
"192",192,6,63,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1986",16,"4TH YEAR COL"
"193",193,2,58,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1981",16,"4TH YEAR COL"
"194",194,6,64,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1989",16,"4TH YEAR COL"
"195",195,5,59,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1989",18,"6TH YEAR COL"
"196",196,7,64,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1991",18,"6TH YEAR COL"
"197",197,9,62,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1981",12,"12TH GRADE"
"198",198,6,63,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1989",18,"6TH YEAR COL"
"199",199,3,59,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1979",12,"12TH GRADE"
"200",200,9,58,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1979",12,"12TH GRADE"
"201",201,6,57,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1982",16,"4TH YEAR COL"
"202",202,11,60,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1989",14,"2ND YEAR COL"
"203",203,1,58,FALSE,"HISPANIC","FEMALE","1979",13,"1ST YEAR COL"
"204",204,3,57,FALSE,"HISPANIC","FEMALE","2010",12,"12TH GRADE"
"205",205,4,57,FALSE,"HISPANIC","FEMALE","1979",12,"12TH GRADE"
"206",206,8,62,FALSE,"NON-BLACK, NON-HISPANIC","MALE","2000",10,"10TH GRADE"
"207",207,9,62,TRUE,"NON-BLACK, NON-HISPANIC","MALE","1998",12,"12TH GRADE"
"208",208,8,58,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1993",12,"12TH GRADE"
"209",209,5,60,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1979",11,"11TH GRADE"
"210",210,12,62,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1985",16,"4TH YEAR COL"
"211",211,1,64,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1987",16,"4TH YEAR COL"
"212",212,3,61,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1980",12,"12TH GRADE"
"213",213,12,62,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1986",16,"4TH YEAR COL"
"214",214,6,64,TRUE,"NON-BLACK, NON-HISPANIC","MALE","2018",16,"4TH YEAR COL"
"215",215,7,60,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1984",16,"4TH YEAR COL"
"216",216,8,60,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","2008",16,"4TH YEAR COL"
"217",217,3,62,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1979",10,"10TH GRADE"
"218",218,6,57,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1980",16,"4TH YEAR COL"
"219",219,7,59,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1987",20,"8TH YEAR COL"
"220",220,5,61,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1990",20,"8TH YEAR COL"
"221",221,8,64,FALSE,"BLACK","FEMALE","2010",12,"12TH GRADE"
"222",222,7,61,FALSE,"BLACK","MALE","1979",9,"9TH GRADE"
"223",223,12,62,FALSE,"BLACK","MALE","2006",12,"12TH GRADE"
"224",224,5,60,FALSE,"BLACK","FEMALE","1989",12,"12TH GRADE"
"225",225,2,61,FALSE,"HISPANIC","MALE","1992",12,"12TH GRADE"
"226",226,6,63,FALSE,"HISPANIC","MALE","1985",13,"1ST YEAR COL"
"227",227,9,57,FALSE,"BLACK","FEMALE","1985",12,"12TH GRADE"
"228",228,11,57,FALSE,"HISPANIC","FEMALE","1979",9,"9TH GRADE"
"229",229,2,63,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","2006",12,"12TH GRADE"
"230",230,9,64,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1987",15,"3RD YEAR COL"
"231",231,6,57,TRUE,"NON-BLACK, NON-HISPANIC","FEMALE","1979",12,"12TH GRADE"
"232",232,10,61,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1983",14,"2ND YEAR COL"
"233",233,4,64,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1983",12,"12TH GRADE"
"234",234,6,61,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1981",12,"12TH GRADE"
"235",235,3,63,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1985",15,"3RD YEAR COL"
"236",236,12,61,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1982",13,"1ST YEAR COL"
"237",237,8,57,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1979",12,"12TH GRADE"
"238",238,6,57,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1979",12,"12TH GRADE"
"239",239,1,61,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1979",10,"10TH GRADE"
"240",240,8,62,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1981",12,"12TH GRADE"
"241",241,3,64,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1983",12,"12TH GRADE"
"242",242,11,58,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1979",12,"12TH GRADE"
"243",243,4,58,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1979",12,"12TH GRADE"
"244",244,5,57,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1979",12,"12TH GRADE"
"245",245,8,62,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1983",14,"2ND YEAR COL"
"246",246,2,64,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1988",17,"5TH YEAR COL"
"247",247,1,59,FALSE,"NON-BLACK, NON-HISPANIC","MALE","2002",20,"8TH YEAR COL"
"248",248,4,61,FALSE,"NON-BLACK, NON-HISPANIC","MALE","2006",14,"2ND YEAR COL"
"249",249,2,63,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1993",17,"5TH YEAR COL"
"250",250,6,58,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1979",12,"12TH GRADE"
"251",251,12,62,FALSE,"NON-BLACK, NON-HISPANIC","MALE","2018",13,"1ST YEAR COL"
"252",252,3,64,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1983",12,"12TH GRADE"
"253",253,6,64,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1982",11,"11TH GRADE"
"254",254,6,61,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1980",12,"12TH GRADE"
"255",255,6,62,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1981",12,"12TH GRADE"
"256",256,10,61,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1994",13,"1ST YEAR COL"
"257",257,6,64,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1983",12,"12TH GRADE"
"258",258,1,58,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1979",14,"2ND YEAR COL"
"259",259,1,59,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1979",12,"12TH GRADE"
"260",260,2,61,FALSE,"NON-BLACK, NON-HISPANIC","MALE","2012",16,"4TH YEAR COL"
"261",261,1,63,FALSE,"NON-BLACK, NON-HISPANIC","MALE","2000",16,"4TH YEAR COL"
"262",262,6,60,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1979",12,"12TH GRADE"
"263",263,1,62,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1981",12,"12TH GRADE"
