"","id","dob_month","dob_year","dob_conflict","race","gender","yr_hgc","hgc_i","hgc"
"1",1,9,58,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1979",12,"12TH GRADE"
"2",2,1,59,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1985",12,"12TH GRADE"
"3",3,8,61,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1993",12,"12TH GRADE"
"4",4,8,62,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1986",14,"2ND YEAR COL"
"5",5,7,59,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1984",18,"6TH YEAR COL"
"6",6,10,60,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1983",16,"4TH YEAR COL"
"7",7,6,64,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1983",12,"12TH GRADE"
"8",8,7,58,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","2002",14,"2ND YEAR COL"
"9",9,7,63,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1990",14,"2ND YEAR COL"
"10",10,10,60,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1979",9,"9TH GRADE"
"11",11,7,59,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1982",16,"4TH YEAR COL"
"12",12,9,59,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1982",16,"4TH YEAR COL"
"13",13,8,58,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1982",16,"4TH YEAR COL"
"14",14,10,63,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","2004",19,"7TH YEAR COL"
"15",15,2,64,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1987",16,"4TH YEAR COL"
"16",16,10,58,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1984",13,"1ST YEAR COL"
"17",17,1,57,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1979",13,"1ST YEAR COL"
"18",18,3,58,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1984",13,"1ST YEAR COL"
"19",19,12,57,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1979",12,"12TH GRADE"
"20",20,11,59,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","2000",17,"5TH YEAR COL"
"21",21,6,61,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1985",16,"4TH YEAR COL"
"22",22,1,63,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1985",16,"4TH YEAR COL"
"23",23,9,58,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1992",19,"7TH YEAR COL"
"24",24,1,61,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1980",12,"12TH GRADE"
"25",25,11,59,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1980",14,"2ND YEAR COL"
"26",26,9,62,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1988",16,"4TH YEAR COL"
"27",27,5,60,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1988",16,"4TH YEAR COL"
"28",28,1,64,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","2000",13,"1ST YEAR COL"
"29",29,10,60,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1979",12,"12TH GRADE"
"30",30,11,58,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1979",12,"12TH GRADE"
"31",31,10,63,FALSE,"HISPANIC","MALE","1983",12,"12TH GRADE"
"32",32,11,57,FALSE,"HISPANIC","FEMALE","1992",18,"6TH YEAR COL"
"33",33,5,62,FALSE,"HISPANIC","MALE","1991",12,"12TH GRADE"
"34",34,12,58,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1979",13,"1ST YEAR COL"
"35",35,8,63,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1983",13,"1ST YEAR COL"
"36",36,8,62,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1981",12,"12TH GRADE"
"37",37,10,58,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1979",12,"12TH GRADE"
"38",38,8,62,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1982",12,"12TH GRADE"
"39",39,2,59,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1979",12,"12TH GRADE"
"40",40,2,60,FALSE,"NON-BLACK, NON-HISPANIC","MALE","2000",14,"2ND YEAR COL"
"41",41,4,62,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1987",15,"3RD YEAR COL"
"42",42,9,63,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1983",12,"12TH GRADE"
"43",43,6,61,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1980",12,"12TH GRADE"
"44",44,4,61,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1980",12,"12TH GRADE"
"45",45,11,59,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1979",12,"12TH GRADE"
"46",46,11,62,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1992",19,"7TH YEAR COL"
"47",47,2,59,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1979",12,"12TH GRADE"
"48",48,10,58,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1979",12,"12TH GRADE"
"49",49,5,58,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1979",14,"2ND YEAR COL"
"50",50,9,58,FALSE,"NON-BLACK, NON-HISPANIC","FEMALE","1979",12,"12TH GRADE"
"51",51,1,63,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1979",8,"8TH GRADE"
"52",52,9,58,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1979",14,"2ND YEAR COL"
"53",53,3,63,FALSE,"HISPANIC","MALE","1985",12,"12TH GRADE"
"54",54,6,58,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1979",10,"10TH GRADE"
"55",55,11,58,FALSE,"NON-BLACK, NON-HISPANIC","MALE","1979",12,"12TH GRADE"
